state,district,block,year,recharge_mm,extraction_mcm,stage_percent,category
Andhra Pradesh,Vijayawada,Block-1,2003,231,168,72.73,Semi-Critical
Andhra Pradesh,Vijayawada,Block-2,2003,178,176,98.88,Critical
Andhra Pradesh,Vijayawada,Block-3,2003,204,205,100.49,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2004,208,124,59.62,Safe
Andhra Pradesh,Vijayawada,Block-2,2004,203,222,109.36,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2004,114,172,150.88,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2005,112,124,110.71,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2005,196,233,118.88,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2005,184,223,121.2,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2006,233,217,93.13,Critical
Andhra Pradesh,Vijayawada,Block-2,2006,224,155,69.2,Safe
Andhra Pradesh,Vijayawada,Block-3,2006,220,267,121.36,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2007,189,238,125.93,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2007,210,222,105.71,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2007,154,168,109.09,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2008,245,92,37.55,Safe
Andhra Pradesh,Vijayawada,Block-2,2008,161,189,117.39,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2008,216,213,98.61,Critical
Andhra Pradesh,Vijayawada,Block-1,2009,172,129,75.0,Semi-Critical
Andhra Pradesh,Vijayawada,Block-2,2009,193,265,137.31,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2009,100,145,145.0,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2010,213,220,103.29,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2010,238,191,80.25,Semi-Critical
Andhra Pradesh,Vijayawada,Block-3,2010,231,124,53.68,Safe
Andhra Pradesh,Vijayawada,Block-1,2011,236,89,37.71,Safe
Andhra Pradesh,Vijayawada,Block-2,2011,245,165,67.35,Safe
Andhra Pradesh,Vijayawada,Block-3,2011,192,137,71.35,Semi-Critical
Andhra Pradesh,Vijayawada,Block-1,2012,196,96,48.98,Safe
Andhra Pradesh,Vijayawada,Block-2,2012,157,105,66.88,Safe
Andhra Pradesh,Vijayawada,Block-3,2012,194,134,69.07,Safe
Andhra Pradesh,Vijayawada,Block-1,2013,151,178,117.88,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2013,121,117,96.69,Critical
Andhra Pradesh,Vijayawada,Block-3,2013,152,181,119.08,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2014,218,205,94.04,Critical
Andhra Pradesh,Vijayawada,Block-2,2014,150,120,80.0,Semi-Critical
Andhra Pradesh,Vijayawada,Block-3,2014,151,110,72.85,Semi-Critical
Andhra Pradesh,Vijayawada,Block-1,2015,205,86,41.95,Safe
Andhra Pradesh,Vijayawada,Block-2,2015,104,201,193.27,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2015,144,143,99.31,Critical
Andhra Pradesh,Vijayawada,Block-1,2016,218,114,52.29,Safe
Andhra Pradesh,Vijayawada,Block-2,2016,226,266,117.7,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2016,112,188,167.86,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2017,173,194,112.14,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2017,171,173,101.17,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2017,212,93,43.87,Safe
Andhra Pradesh,Vijayawada,Block-1,2018,202,166,82.18,Semi-Critical
Andhra Pradesh,Vijayawada,Block-2,2018,166,196,118.07,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2018,190,172,90.53,Critical
Andhra Pradesh,Vijayawada,Block-1,2019,211,191,90.52,Critical
Andhra Pradesh,Vijayawada,Block-2,2019,236,85,36.02,Safe
Andhra Pradesh,Vijayawada,Block-3,2019,202,214,105.94,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2020,169,260,153.85,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2020,235,247,105.11,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2020,143,92,64.34,Safe
Andhra Pradesh,Vijayawada,Block-1,2021,151,174,115.23,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2021,123,142,115.45,Over-Exploited
Andhra Pradesh,Vijayawada,Block-3,2021,222,234,105.41,Over-Exploited
Andhra Pradesh,Vijayawada,Block-1,2022,121,167,138.02,Over-Exploited
Andhra Pradesh,Vijayawada,Block-2,2022,181,156,86.19,Semi-Critical
Andhra Pradesh,Vijayawada,Block-3,2022,108,98,90.74,Critical
Andhra Pradesh,Guntur,Block-1,2000,204,185,90.69,Critical
Andhra Pradesh,Guntur,Block-2,2000,223,245,109.87,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2000,173,178,102.89,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2001,112,195,174.11,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2001,161,88,54.66,Safe
Andhra Pradesh,Guntur,Block-3,2001,222,90,40.54,Safe
Andhra Pradesh,Guntur,Block-1,2002,247,187,75.71,Semi-Critical
Andhra Pradesh,Guntur,Block-2,2002,249,164,65.86,Safe
Andhra Pradesh,Guntur,Block-3,2002,132,258,195.45,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2003,104,109,104.81,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2003,234,232,99.15,Critical
Andhra Pradesh,Guntur,Block-3,2003,126,221,175.4,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2004,158,126,79.75,Semi-Critical
Andhra Pradesh,Guntur,Block-2,2004,175,270,154.29,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2004,204,207,101.47,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2005,103,240,233.01,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2005,113,199,176.11,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2005,161,90,55.9,Safe
Andhra Pradesh,Guntur,Block-1,2006,130,262,201.54,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2006,227,122,53.74,Safe
Andhra Pradesh,Guntur,Block-3,2006,203,202,99.51,Critical
Andhra Pradesh,Guntur,Block-1,2007,208,211,101.44,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2007,106,181,170.75,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2007,227,90,39.65,Safe
Andhra Pradesh,Guntur,Block-1,2008,194,215,110.82,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2008,186,203,109.14,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2008,186,117,62.9,Safe
Andhra Pradesh,Guntur,Block-1,2009,177,175,98.87,Critical
Andhra Pradesh,Guntur,Block-2,2009,152,223,146.71,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2009,181,174,96.13,Critical
Andhra Pradesh,Guntur,Block-1,2010,100,114,114.0,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2010,227,127,55.95,Safe
Andhra Pradesh,Guntur,Block-3,2010,213,145,68.08,Safe
Andhra Pradesh,Guntur,Block-1,2011,160,135,84.38,Semi-Critical
Andhra Pradesh,Guntur,Block-2,2011,203,124,61.08,Safe
Andhra Pradesh,Guntur,Block-3,2011,185,195,105.41,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2012,169,201,118.93,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2012,115,210,182.61,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2012,106,216,203.77,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2013,169,246,145.56,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2013,169,211,124.85,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2013,149,233,156.38,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2014,205,240,117.07,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2014,196,237,120.92,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2014,204,144,70.59,Semi-Critical
Andhra Pradesh,Guntur,Block-1,2015,114,138,121.05,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2015,107,87,81.31,Semi-Critical
Andhra Pradesh,Guntur,Block-3,2015,229,231,100.87,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2016,222,229,103.15,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2016,203,213,104.93,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2016,229,236,103.06,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2017,159,227,142.77,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2017,240,114,47.5,Safe
Andhra Pradesh,Guntur,Block-3,2017,135,247,182.96,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2018,184,239,129.89,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2018,243,197,81.07,Semi-Critical
Andhra Pradesh,Guntur,Block-3,2018,241,124,51.45,Safe
Andhra Pradesh,Guntur,Block-1,2019,227,269,118.5,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2019,156,222,142.31,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2019,192,139,72.4,Semi-Critical
Andhra Pradesh,Guntur,Block-1,2020,223,214,95.96,Critical
Andhra Pradesh,Guntur,Block-2,2020,163,102,62.58,Safe
Andhra Pradesh,Guntur,Block-3,2020,235,242,102.98,Over-Exploited
Andhra Pradesh,Guntur,Block-1,2021,198,215,108.59,Over-Exploited
Andhra Pradesh,Guntur,Block-2,2021,183,80,43.72,Safe
Andhra Pradesh,Guntur,Block-3,2021,170,160,94.12,Critical
Andhra Pradesh,Guntur,Block-1,2022,186,131,70.43,Semi-Critical
Andhra Pradesh,Guntur,Block-2,2022,151,214,141.72,Over-Exploited
Andhra Pradesh,Guntur,Block-3,2022,101,142,140.59,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2000,206,240,116.5,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2000,250,267,106.8,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2000,165,132,80.0,Semi-Critical
Andhra Pradesh,Nellore,Block-1,2001,229,92,40.17,Safe
Andhra Pradesh,Nellore,Block-2,2001,157,173,110.19,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2001,122,175,143.44,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2002,218,207,94.95,Critical
Andhra Pradesh,Nellore,Block-2,2002,104,111,106.73,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2002,209,257,122.97,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2003,113,216,191.15,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2003,115,141,122.61,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2003,183,209,114.21,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2004,134,185,138.06,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2004,111,169,152.25,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2004,190,130,68.42,Safe
Andhra Pradesh,Nellore,Block-1,2005,195,130,66.67,Safe
Andhra Pradesh,Nellore,Block-2,2005,193,269,139.38,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2005,111,217,195.5,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2006,219,145,66.21,Safe
Andhra Pradesh,Nellore,Block-2,2006,173,180,104.05,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2006,161,249,154.66,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2007,247,119,48.18,Safe
Andhra Pradesh,Nellore,Block-2,2007,117,146,124.79,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2007,117,143,122.22,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2008,182,191,104.95,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2008,191,124,64.92,Safe
Andhra Pradesh,Nellore,Block-3,2008,207,200,96.62,Critical
Andhra Pradesh,Nellore,Block-1,2009,220,139,63.18,Safe
Andhra Pradesh,Nellore,Block-2,2009,155,113,72.9,Semi-Critical
Andhra Pradesh,Nellore,Block-3,2009,245,98,40.0,Safe
Andhra Pradesh,Nellore,Block-1,2010,106,269,253.77,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2010,174,255,146.55,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2010,145,146,100.69,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2011,238,206,86.55,Semi-Critical
Andhra Pradesh,Nellore,Block-2,2011,212,177,83.49,Semi-Critical
Andhra Pradesh,Nellore,Block-3,2011,106,140,132.08,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2012,103,244,236.89,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2012,109,172,157.8,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2012,183,164,89.62,Semi-Critical
Andhra Pradesh,Nellore,Block-1,2013,114,208,182.46,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2013,151,90,59.6,Safe
Andhra Pradesh,Nellore,Block-3,2013,218,262,120.18,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2014,200,179,89.5,Semi-Critical
Andhra Pradesh,Nellore,Block-2,2014,120,104,86.67,Semi-Critical
Andhra Pradesh,Nellore,Block-3,2014,108,189,175.0,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2015,124,159,128.23,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2015,113,159,140.71,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2015,131,137,104.58,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2016,131,245,187.02,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2016,243,234,96.3,Critical
Andhra Pradesh,Nellore,Block-3,2016,194,95,48.97,Safe
Andhra Pradesh,Nellore,Block-1,2017,183,256,139.89,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2017,180,101,56.11,Safe
Andhra Pradesh,Nellore,Block-3,2017,229,169,73.8,Semi-Critical
Andhra Pradesh,Nellore,Block-1,2018,172,117,68.02,Safe
Andhra Pradesh,Nellore,Block-2,2018,217,93,42.86,Safe
Andhra Pradesh,Nellore,Block-3,2018,108,221,204.63,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2019,163,239,146.63,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2019,215,185,86.05,Semi-Critical
Andhra Pradesh,Nellore,Block-3,2019,201,268,133.33,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2020,155,136,87.74,Semi-Critical
Andhra Pradesh,Nellore,Block-2,2020,172,175,101.74,Over-Exploited
Andhra Pradesh,Nellore,Block-3,2020,169,186,110.06,Over-Exploited
Andhra Pradesh,Nellore,Block-1,2021,229,241,105.24,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2021,162,159,98.15,Critical
Andhra Pradesh,Nellore,Block-3,2021,165,84,50.91,Safe
Andhra Pradesh,Nellore,Block-1,2022,199,248,124.62,Over-Exploited
Andhra Pradesh,Nellore,Block-2,2022,232,124,53.45,Safe
Andhra Pradesh,Nellore,Block-3,2022,234,240,102.56,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2000,134,102,76.12,Semi-Critical
Arunachal Pradesh,Itanagar,Block-2,2000,215,257,119.53,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2000,108,127,117.59,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2001,185,100,54.05,Safe
Arunachal Pradesh,Itanagar,Block-2,2001,214,216,100.93,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2001,207,242,116.91,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2002,232,269,115.95,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2002,190,168,88.42,Semi-Critical
Arunachal Pradesh,Itanagar,Block-3,2002,188,258,137.23,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2003,249,178,71.49,Semi-Critical
Arunachal Pradesh,Itanagar,Block-2,2003,238,221,92.86,Critical
Arunachal Pradesh,Itanagar,Block-3,2003,228,128,56.14,Safe
Arunachal Pradesh,Itanagar,Block-1,2004,249,187,75.1,Semi-Critical
Arunachal Pradesh,Itanagar,Block-2,2004,223,201,90.13,Critical
Arunachal Pradesh,Itanagar,Block-3,2004,128,137,107.03,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2005,144,205,142.36,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2005,238,233,97.9,Critical
Arunachal Pradesh,Itanagar,Block-3,2005,164,168,102.44,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2006,109,158,144.95,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2006,121,192,158.68,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2006,103,211,204.85,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2007,240,126,52.5,Safe
Arunachal Pradesh,Itanagar,Block-2,2007,137,201,146.72,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2007,122,222,181.97,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2008,117,128,109.4,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2008,246,261,106.1,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2008,105,213,202.86,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2009,104,232,223.08,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2009,178,180,101.12,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2009,136,97,71.32,Semi-Critical
Arunachal Pradesh,Itanagar,Block-1,2010,204,251,123.04,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2010,222,242,109.01,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2010,152,99,65.13,Safe
Arunachal Pradesh,Itanagar,Block-1,2011,230,227,98.7,Critical
Arunachal Pradesh,Itanagar,Block-2,2011,109,113,103.67,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2011,131,97,74.05,Semi-Critical
Arunachal Pradesh,Itanagar,Block-1,2012,206,247,119.9,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2012,211,107,50.71,Safe
Arunachal Pradesh,Itanagar,Block-3,2012,158,121,76.58,Semi-Critical
Arunachal Pradesh,Itanagar,Block-1,2013,167,164,98.2,Critical
Arunachal Pradesh,Itanagar,Block-2,2013,155,217,140.0,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2013,101,98,97.03,Critical
Arunachal Pradesh,Itanagar,Block-1,2014,191,116,60.73,Safe
Arunachal Pradesh,Itanagar,Block-2,2014,152,242,159.21,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2014,146,207,141.78,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2015,225,198,88.0,Semi-Critical
Arunachal Pradesh,Itanagar,Block-2,2015,112,126,112.5,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2015,242,244,100.83,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2016,133,200,150.38,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2016,145,136,93.79,Critical
Arunachal Pradesh,Itanagar,Block-3,2016,139,267,192.09,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2017,150,140,93.33,Critical
Arunachal Pradesh,Itanagar,Block-2,2017,106,254,239.62,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2017,243,214,88.07,Semi-Critical
Arunachal Pradesh,Itanagar,Block-1,2018,187,247,132.09,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2018,187,204,109.09,Over-Exploited
Arunachal Pradesh,Itanagar,Block-3,2018,159,161,101.26,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2019,160,154,96.25,Critical
Arunachal Pradesh,Itanagar,Block-2,2019,236,213,90.25,Critical
Arunachal Pradesh,Itanagar,Block-3,2019,215,173,80.47,Semi-Critical
Arunachal Pradesh,Itanagar,Block-1,2020,233,82,35.19,Safe
Arunachal Pradesh,Itanagar,Block-2,2020,121,113,93.39,Critical
Arunachal Pradesh,Itanagar,Block-3,2020,199,168,84.42,Semi-Critical
Arunachal Pradesh,Itanagar,Block-1,2021,144,146,101.39,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2021,121,98,80.99,Semi-Critical
Arunachal Pradesh,Itanagar,Block-3,2021,114,185,162.28,Over-Exploited
Arunachal Pradesh,Itanagar,Block-1,2022,127,209,164.57,Over-Exploited
Arunachal Pradesh,Itanagar,Block-2,2022,191,133,69.63,Safe
Arunachal Pradesh,Itanagar,Block-3,2022,236,159,67.37,Safe
Arunachal Pradesh,Tawang,Block-1,2000,126,83,65.87,Safe
Arunachal Pradesh,Tawang,Block-2,2000,151,258,170.86,Over-Exploited
Arunachal Pradesh,Tawang,Block-3,2000,237,137,57.81,Safe
Arunachal Pradesh,Tawang,Block-1,2001,248,160,64.52,Safe
Arunachal Pradesh,Tawang,Block-2,2001,204,189,92.65,Critical
Arunachal Pradesh,Tawang,Block-3,2001,114,154,135.09,Over-Exploited
Arunachal Pradesh,Tawang,Block-1,2002,191,89,46.6,Safe
Arunachal Pradesh,Tawang,Block-2,2002,235,93,39.57,Safe
Arunachal Pradesh,Tawang,Block-3,2002,215,109,50.7,Safe
